6000 34083
407 4292 884310
407 4620 400630
407 5008 943833
407 5031 82102
407 5397 262982
407 5768 74662
408 600 577689
408 1471 849951
408 2471 164844
408 3107 415934
408 3994 418867
408 4282 838652
408 4402 291002
408 4956 47191
408 5232 371533
408 5523 809585
408 5731 923273
409 798 866295
409 1568 83758
409 2188 95144
409 2600 328861
409 2931 252452
409 3659 783633
409 4459 245923
409 4724 823085
409 4882 190483
409 5251 366809
409 5850 87722
410 547 12997
410 785 59431
410 1710 885450
410 1757 333248
410 2591 365341
410 2956 954943
410 3264 537508
410 3966 856169
410 4152 882154
410 4396 254819
410 4697 183166
410 5128 112385
410 5447 733265
410 5548 594480
411 1229 99189
411 2224 526166
411 2647 851778
411 2733 377224
411 2905 714686
411 3310 748865
411 3356 719699
411 3524 210906
411 3921 132336
411 4008 747902
411 4935 453257
411 5133 769093
411 5816 149582
412 1356 58683
412 1590 952158
412 2438 690423
412 2939 98014
412 3132 112630
412 3579 75768
412 3728 710484
412 3896 245013
412 4774 43866
412 4951 594783
412 5561 169864
412 5778 657511
413 883 694708
413 1110 242508
413 1392 37989
413 2191 419316
413 2762 440309
413 2921 352345
413 3078 89172
413 3611 813786
413 4578 610300
413 4860 795450
413 5675 71295
413 5998 11032
414 867 920642
414 897 83674
414 1041 67172
414 1532 272852
414 1926 88998
414 2407 662735
414 2552 52796
414 2853 17453
414 3155 160645
414 3760 165826
414 4285 48742
414 5073 338176
414 5092 562589
414 5430 946313
414 5690 316369
415 1127 237006
415 1636 148737
415 2134 950032
415 2357 604349
415 2779 600573
415 2956 237508
415 3669 323324
415 3825 711517
415 4446 239152
415 4563 49446
415 5235 995210
415 5816 305199
416 582 610536
416 1467 637429
416 1715 420719
416 2203 196606
416 2426 851225
416 2525 253607
416 3320 132447
416 3344 479719
416 4315 65883
416 4742 726294
416 4776 885295
416 5686 867185
417 1121 834208
417 2085 508640
417 2835 697192
417 3636 782637
417 4060 41581
417 4940 967142
417 5357 422485
418 1055 950583
418 1370 990787
418 1743 352694
418 2241 518699
418 2809 127928
418 3793 562957
418 4360 371250
418 4845 361329
418 5794 297044
419 1355 952793
419 2183 459741
419 2956 464607
419 3621 477656
419 4361 278085
419 4846 218808
419 4915 883419
419 5385 896856
419 5525 612163
419 5874 517838
419 5952 11628
420 802 541194
420 1217 572870
420 2084 713719
420 2341 607159
420 2991 339049
420 3973 261742
420 4790 989940
420 5193 584825
420 5220 73839
420 5877 156835
421 492 416304
421 599 916566
421 1410 276811
421 1806 608244
421 2588 713569
421 3210 345976
421 4189 323843
421 5027 594049
421 5123 888348
421 5817 565496
422 854 672665
422 1466 937190
422 2299 341642
422 2671 291493
422 3491 23631
422 4402 947476
422 5135 125477
422 5417 209895
422 5637 616877
423 1207 367850
423 2203 670118
423 2240 158189
423 2398 434488
423 2926 660207
423 3901 976560
423 4535 188991
423 4702 255175
423 5521 238160
424 1083 252980
424 1252 979574
424 2051 739258
424 2445 725436
424 2941 697617
424 3245 480172
424 3993 226506
424 4508 673865
424 5046 31703
424 5416 869025
424 5994 630928
425 558 432562
425 892 467655
425 972 53508
425 1131 986626
425 1294 991490
425 1437 320088
425 1721 564752
425 2198 433719
425 2441 155445
425 2811 26767
425 2999 518875
425 3276 349404
425 3684 448332
425 4453 822432
425 5358 434696
426 816 383605
426 1276 114396
426 1309 351967
426 1859 607010
426 2336 328039
426 2484 12564
426 3154 997251
426 3542 986388
426 4384 625832
426 5138 86960
426 5153 313980
426 5385 134418
426 5769 951915
427 590 994820
427 1168 813941
427 1725 305534
427 2121 755952
427 2683 980715
427 3181 532924
427 3368 936888
427 3787 685751
427 4341 962670
427 4827 992293
427 5686 298318
428 1242 599684
428 1612 613401
428 2058 885109
428 2366 704983
428 2633 560127
428 3541 821560
428 3572 448794
428 4523 473982
428 5226 914665
429 1051 104204
429 1762 873045
429 2708 25620
429 3414 462435
429 3670 374920
429 3766 838006
429 4495 876780
429 4866 98129
429 5439 340831
429 5871 864907
429 5964 739910
430 1078 457940
430 1678 103955
430 2592 315306
430 3555 531096
430 3831 639166
430 3985 612320
430 4444 92773
430 4817 924246
430 5194 339292
430 5531 981382
430 5547 594468
430 5647 438496
430 5683 777930
431 1370 126374
431 2199 111105
431 2217 816121
431 2269 400324
431 2651 399709
431 2933 795477
431 3913 90800
431 4540 751299
431 4794 471751
431 4813 960499
431 4936 571310
431 5120 112856
431 5793 789003
432 597 27039
432 1473 452092
432 1798 454250
432 2066 757429
432 2681 142740
432 3509 150938
432 3626 241536
432 4193 718946
432 4705 209718
432 5273 648162
433 1099 880181
433 1913 701145
433 2747 917353
433 3739 879511
433 4087 363947
433 4758 249738
433 5576 198114
433 5634 662419
434 1268 929385
434 1733 11665
434 2047 74585
434 2591 199237
434 3113 666411
434 3411 891445
434 3976 171269
434 4435 711097
434 4866 678603
434 5792 327783
435 867 550482
435 1399 304458
435 1610 64706
435 2173 212624
435 2641 543648
435 3446 172853
435 3554 426821
435 4068 802044
435 4429 968750
435 5343 862771
435 5387 3358
436 1096 497168
436 1871 508446
436 2633 600057
436 2854 668356
436 3690 903054
436 3925 979294
436 4186 622292
436 4390 915884
436 5146 541851
436 5831 38608
437 938 808121
437 1284 954217
437 1499 183263
437 2479 703614
437 3443 27018
437 3712 200132
437 4501 310067
437 4742 548197
437 5377 76948
437 5405 565688
437 5584 718673
438 1256 233229
438 1432 122577
438 1855 32216
438 2031 560733
438 2743 485649
438 3169 744281
438 4028 331688
438 4284 482472
438 5283 104625
438 5371 267482
438 5780 594154
439 1392 256788
439 2054 823985
439 2874 871196
439 2875 607767
439 2885 292229
439 3175 766938
439 3823 857505
439 3933 660732
439 4146 930110
439 4299 875493
439 5263 657192
439 5359 191435
439 5897 57720
440 456 110481
440 828 151738
440 1609 875511
440 2356 51765
440 2682 775943
440 2796 822093
440 3096 919342
440 3474 187237
440 3811 504883
440 4505 196420
440 4948 561803
440 5516 544287
441 548 13734
441 1092 903649
441 1889 486770
441 2549 214629
441 2686 563749
441 3092 464647
441 3583 10522
441 4552 760785
441 5183 17413
441 5615 556973
441 5753 884669
442 810 32714
442 883 871166
442 1392 810996
442 2188 381626
442 2639 945529
442 3157 410099
442 3479 363287
442 3585 264302
442 4356 902206
442 5059 933417
442 5751 717225
443 1268 354855
443 1761 345260
443 1932 843635
443 2204 520832
443 3202 778986
443 3454 433516
443 3944 653599
443 4251 271467
443 4296 310836
443 4628 86495
443 5133 543970
443 5729 624806
444 1241 847861
444 1742 697845
444 1819 107589
444 2484 436283
444 2562 207276
444 3012 613712
444 3556 901633
444 3613 732529
444 3845 609572
444 4211 397830
444 5086 410184
444 5957 802062
445 806 678918
445 1283 69313
445 1350 147569
445 1455 667927
445 1872 94301
445 2871 234005
445 3184 185634
445 3262 163589
445 3341 134141
445 3469 468063
445 3663 366008
445 3953 436117
445 4322 610119
445 4661 398552
445 5646 729400
446 1144 924665
446 1384 398010
446 2112 271808
446 2574 412654
446 2794 888763
446 2795 148576
446 3218 347634
446 3868 525011
446 4576 803142
446 5062 382122
446 5393 524493
446 5800 65800
447 968 993138
447 1725 888862
447 2607 933523
447 3162 163546
447 3920 615564
447 4189 329565
447 4210 837275
447 4342 815135
447 4613 909060
447 5167 346904
447 5224 217916
448 642 376402
448 718 494529
448 956 753838
448 1628 446451
448 2334 69809
448 2889 363567
448 2927 324077
448 3396 988584
448 4227 229384
448 4427 227747
448 4828 250474
448 5055 970887
448 5147 897286
448 5935 629347
449 1149 890305
449 1680 774453
449 2408 867411
449 3094 803565
449 3172 638136
449 3791 530239
449 3829 158185
449 4101 869115
449 4751 860207
449 5692 1385
450 485 157137
450 709 983265
450 725 806320
450 1267 791807
450 1925 872235
450 2779 842315
450 2893 964306
450 3283 112524
450 4271 728307
450 5221 310475
451 635 855513
451 736 974811
451 1707 453106
451 1717 491915
451 2200 108416
451 2497 611619
451 3484 986562
451 4466 987658
451 4917 564141
451 5581 772038
452 778 17151
452 1422 706719
452 1440 906987
452 1457 218971
452 1910 957941
452 2412 589317
452 2802 813313
452 3085 124847
452 3403 838549
452 4080 273085
452 4922 707296
452 5341 344755
452 5966 442077
453 566 898092
453 1152 314107
453 1565 550088
453 1663 903131
453 1765 972084
453 2261 931424
453 2793 812436
453 3715 295201
453 3888 99586
453 4367 609020
453 4618 480380
453 5310 53687
453 5527 928339
453 5628 183323
454 979 427875
454 1051 364616
454 1860 798530
454 2236 27248
454 2859 496859
454 3556 835706
454 3906 671121
454 4492 680137
454 4882 836786
454 5188 56975
454 5800 773325
455 1442 478016
455 2345 797559
455 2692 399359
455 3565 330662
455 4445 925100
455 4526 746847
455 4782 613611
455 5001 429503
455 5582 321077
455 5778 345639
456 1120 887224
456 2026 314057
456 2379 33215
456 2402 718968
456 2933 208599
456 3236 800899
456 3733 991861
456 3974 499207
456 4056 54254
456 4138 414181
456 4468 628281
456 4900 999292
456 5395 762286
456 5616 289923
457 1312 478696
457 1804 742078
457 2401 634900
457 3179 897164
457 4097 734097
457 4787 214516
457 5182 504588
457 5542 436608
457 5718 813567
458 1235 695000
458 2096 184463
458 2368 672648
458 3114 292122
458 3391 692970
458 3779 915462
458 3951 93435
458 4252 806249
458 4280 871201
458 4654 338191
458 5120 555471
458 5348 124334
458 5561 579168
459 1275 323695
459 1878 878856
459 2698 979955
459 2762 823282
459 2984 407711
459 3359 111696
459 3695 732697
459 3774 790797
459 4638 303514
459 4731 603113
459 5620 414645
460 887 808111
460 1187 190010
460 1623 12869
460 2144 887480
460 2824 609216
460 2903 844888
460 2934 636033
460 3881 587664
460 4483 504010
460 4517 83649
460 4858 843730
460 4934 686489
460 5524 629941
461 511 890829
461 1081 700887
461 1684 969032
461 2219 712612
461 2682 726403
461 2811 788942
461 3241 123696
461 3609 537317
461 3683 113752
461 3943 475737
461 4645 137621
461 4763 169350
461 5720 946848
462 1255 103789
462 1964 466077
462 2798 16537
462 3440 81072
462 3927 79673
462 4881 284451
462 5364 553708
463 884 762490
463 1502 764144
463 2300 327047
463 3188 933413
463 3963 963593
463 4340 422248
463 4626 620689
463 4713 145063
463 5190 472875
463 5957 806554
464 1116 433547
464 1592 859142
464 2156 761433
464 3092 527050
464 3577 458866
464 4395 593974
464 5226 93962
464 5345 224877
464 5542 859884
465 602 447260
465 845 617426
465 1786 851685
465 2266 408421
465 3170 549603
465 3488 693963
465 3738 681217
465 4524 728743
465 5300 422219
465 5975 754177
466 1354 600347
466 1374 261723
466 2026 774142
466 2969 698852
466 2986 546946
466 3970 81277
466 4506 800761
466 5071 881220
466 5660 590337
467 654 321655
467 1084 498792
467 1947 593219
467 2473 229994
467 3254 132556
467 3416 301835
467 3856 584508
467 4058 758162
467 4213 956344
467 4313 10358
467 5021 824397
467 5710 704336
468 914 369900
468 1410 74038
468 1639 489970
468 1859 798235
468 2606 202011
468 2699 48318
468 3583 31086
468 4029 78440
468 4624 914633
468 5499 632455
469 853 943961
469 1022 610487
469 1333 159881
469 1561 148003
469 2121 805159
469 2917 750460
469 2919 732833
469 3603 579324
469 4003 25270
469 4421 154410
469 4779 82735
469 5421 373795
469 5950 695081
470 627 786307
470 814 706990
470 1500 998148
470 2007 246172
470 2813 952739
470 3208 133160
470 3502 518906
470 4454 600105
470 4709 524784
470 4845 703930
470 5025 852405
470 5369 147941
470 5479 337430
471 1371 32958
471 1377 506993
471 1839 762312
471 2014 382804
471 3007 75674
471 3665 160517
471 4492 128396
471 4751 193987
471 4788 909516
471 5722 578142
471 5841 27069
472 516 504248
472 542 992743
472 1075 969139
472 1240 449466
472 1627 879474
472 2095 561379
472 2379 704131
472 3280 938087
472 3400 230927
472 4140 778988
472 4889 758487
472 5483 485735
473 579 471668
473 939 113228
473 1668 268989
473 1935 519328
473 1945 360362
473 2153 528500
473 2675 653674
473 3557 86347
473 4046 144260
473 4672 299619
473 5181 96064
473 5267 530435
474 543 822183
474 1176 866667
474 1438 253860
474 1558 812281
474 1773 575347
474 2130 386555
474 3091 346685
474 3651 303322
474 3891 474412
474 4082 720913
474 4371 112890
474 4768 717901
474 5279 616016
474 5684 850575
475 662 576725
475 1180 402721
475 1886 130536
475 2864 831565
475 3515 39259
475 3642 684349
475 4605 335682
475 5262 729647
475 5851 963331
476 1472 473521
476 1615 329641
476 2017 350544
476 2550 857269
476 3453 581293
476 3640 533355
476 4467 800911
476 4687 564547
476 5651 444107
477 1353 553109
477 1480 192007
477 2281 730093
477 2313 897462
477 2397 841976
477 3181 289322
477 3501 850656
477 4313 443960
477 4719 190355
477 5559 810674
478 958 34860
478 1266 267310
478 1380 36531
478 1580 763434
478 2562 656076
478 2867 550090
478 3065 714663
478 3952 249643
478 3994 717700
478 4068 117018
478 4547 547747
478 5232 945486
478 5786 707996
479 736 715835
479 1292 283865
479 1954 260767
479 2474 604971
479 2703 592403
479 2869 892662
479 3249 609242
479 3563 655821
479 4350 129977
479 5053 894781
479 5067 193754
479 5917 38383
480 1072 786067
480 1782 88502
480 1836 616600
480 2590 726240
480 3094 982970
480 3991 619622
480 4477 185219
480 5323 614888
481 984 204267
481 1954 56821
481 2033 909112
481 2174 336138
481 3059 624510
481 3942 957090
481 4827 818467
481 4857 965303
481 5381 746531
482 953 445636
482 1245 27978
482 1842 282193
482 2434 451086
482 3189 912793
482 4154 638491
482 4798 786583
482 5606 127464
483 751 346956
483 894 164508
483 1351 545381
483 1940 150697
483 2779 295974
483 3771 416366
483 4619 608052
483 4804 4483
483 5143 662514
483 5219 624883
483 5320 884161
483 5954 739246
484 956 809889
484 1008 182284
484 1704 899713
484 2251 800651
484 2454 191054
484 2557 460584
484 3547 922800
484 4317 641316
484 4456 273488
484 4615 679542
484 5283 204642
485 662 637717
485 769 880634
485 990 255744
485 1861 504698
485 2424 946111
485 3170 717846
485 3972 173810
485 4712 200452
485 4721 968145
485 5623 65944
486 535 923065
486 1329 999543
486 1873 154956
486 1949 104567
486 2890 184956
486 3630 30009
486 4040 555725
486 4266 604153
486 5209 89275
486 5272 638053
486 5288 890261
487 661 151000
487 1310 626186
487 1799 243554
487 2272 948975
487 2871 131537
487 2987 171141
487 3416 91423
487 3629 948995
487 3989 551520
487 4071 997368
487 4996 179806
487 5937 20429
488 700 676491
488 1492 34583
488 2235 63997
488 2987 234095
488 3628 714289
488 4559 62195
488 5316 851257
488 5457 570646
488 5825 921281
488 5895 362790
489 549 846501
489 1257 988146
489 2118 255636
489 2413 425805
489 2821 556043
489 3185 985251
489 3367 647947
489 4356 162531
489 5050 302435
489 5217 933983
489 5930 559713
490 1455 309853
490 2183 843688
490 2661 358801
490 3131 35322
490 3340 52970
490 3366 743706
490 3544 163013
490 4540 355335
490 5309 500390
491 506 598924
491 1142 525359
491 1588 352686
491 2374 258968
491 2386 548854
491 3059 176102
491 3874 644877
491 4700 448502
491 5050 994978
491 5369 944024
491 5903 740641
492 727 670170
492 1484 438587
492 1980 2529
492 2948 994194
492 3487 54243
492 3664 984898
492 4348 996214
492 4379 74652
492 4600 877884
492 5272 975323
492 5318 54548
492 5814 963900
493 1314 651570
493 1579 389711
493 1781 275017
493 2722 578724
493 3491 838879
493 3706 324650
493 3901 114760
493 4437 348437
493 4722 801785
493 4839 754498
493 5002 755120
493 5069 41399
493 5856 45389
494 1176 173236
494 1863 698931
494 2267 172257
494 2810 202114
494 3616 913911
494 4019 659529
494 4047 441281
494 4787 560677
494 5258 894851
494 5466 600260
494 5597 662993
495 1472 826507
495 2311 994047
495 3208 716981
495 3987 908341
495 3997 729014
495 4020 667941
495 4433 601279
495 5264 743527
495 5697 220742
496 1453 456769
496 2006 121700
496 2795 555380
496 3690 911352
496 4321 186029
496 5009 436358
496 5362 917195
496 5906 620399
496 5993 221876
497 1272 190885
497 1806 155154
497 2623 479303
497 3399 682004
497 3572 471212
497 3661 601453
497 3826 392209
497 4179 967216
497 5172 976732
497 5278 837344
497 5636 202487
498 561 828839
498 1131 73610
498 1713 663012
498 2190 658110
498 2973 486362
498 3965 27936
498 4491 591646
498 5198 59881
499 1414 478969
499 2028 101083
499 2197 869970
499 2487 313517
499 3181 84752
499 4034 495407
499 4264 111588
499 4730 116068
499 4883 170427
499 5880 136164
500 955 525298
500 1564 368450
500 1789 846490
500 1876 853936
500 2239 807256
500 2437 385331
500 2654 759632
500 3502 642186
500 3771 86364
500 3998 429020
500 4562 500634
500 4807 865151
500 5254 348665
500 5553 767873
501 1312 750124
501 1423 516108
501 1503 603912
501 2184 581570
501 2530 439616
501 3458 403953
501 3619 389610
501 3784 857792
501 4589 334703
501 4645 765169
501 5570 631076
502 1408 863672
502 2283 470708
502 2611 238529
502 3184 158989
502 3871 505048
502 4318 778147
502 4442 998359
502 5265 821693
502 5965 319790
503 1152 417950
503 2077 175169
503 2162 410734
503 3025 994144
503 3919 366144
503 4482 210977
503 4527 5235
503 4726 193753
503 5284 866080
503 5957 892898
504 1220 803697
504 1476 210195
504 1875 270082
504 2106 913454
504 2321 374202
504 2771 40516
504 3246 87619
504 3842 33208
504 4319 343092
504 4768 963620
504 4770 452777
504 4783 6236
504 5755 913117
504 5897 946403
505 892 74516
505 1744 469435
505 1864 558399
505 2693 767201
505 3318 701283
505 4082 997179
505 4810 430279
505 5459 701346
506 710 815175
506 1020 411008
506 1158 123315
506 1286 498154
506 2181 944103
506 2795 386040
506 3644 789402
506 4418 997717
506 5020 521209
506 5852 696000
506 5885 778384
507 1170 168147
507 1316 140395
507 1734 452150
507 1818 377644
507 2519 173258
507 3468 548708
507 3860 623263
507 4692 482897
507 4845 389286
507 5352 171544
507 5835 716260
508 703 370213
508 925 805030
508 1481 86258
508 1886 901532
508 2803 751552
508 2828 269663
508 3145 186175
508 3887 243960
508 4758 801000
508 5662 388931
509 1023 317762
509 2006 669023
509 2397 195493
509 3307 535877
509 3404 612931
509 3471 798309
509 3619 167448
509 4480 476406
509 5329 282392
509 5999 502400
510 1190 368716
510 2124 19425
510 2143 42809
510 2911 389278
510 2994 638862
510 3781 265844
510 4622 458161
510 5204 135685
510 5271 541459
511 1504 903877
511 1586 818145
511 1903 259298
511 2797 338521
511 2830 932919
511 3094 590800
511 4040 242331
511 4770 860370
511 5115 868890
511 5601 760622
512 855 549760
512 1014 776187
512 1927 604744
512 2143 339335
512 2689 991996
512 3012 82775
512 3437 101819
512 3876 129722
512 3936 8959
512 4038 878330
512 4608 294902
512 4879 124900
512 5858 579641
513 729 809478
513 938 839539
513 1754 322968
513 2447 454355
513 2675 559788
513 3241 186562
513 3923 390913
513 4156 337808
513 4490 572051
513 5084 907407
513 5543 533552
514 1298 932473
514 2052 115059
514 2416 60088
514 2459 69959
514 2758 20520
514 3273 405837
514 3956 198834
514 4833 153037
514 4891 437016
514 5841 232619
515 1374 219203
515 2222 204196
515 2468 554445
515 3414 825060
515 3754 755806
515 4593 536812
515 5148 852249
515 5671 238642
515 5958 696833
516 670 56347
516 790 298841
516 1315 604352
516 1536 817586
516 1896 36527
516 2444 733408
516 2825 785751
516 3077 699928
516 3421 317696
516 4290 918403
516 4322 600027
516 4911 975195
516 5488 507838
517 1084 87476
517 1626 854858
517 2604 355241
517 2930 19170
517 3691 219029
517 4429 944346
517 4813 540264
517 5054 993792
517 5694 329343
518 1433 939038
518 1515 580140
518 2299 29469
518 2457 29377
518 3113 475090
518 3671 606725
518 4323 657385
518 4585 379862
518 4943 744502
518 5478 396879
519 1078 900617
519 1381 473947
519 2253 875548
519 2335 476868
519 2569 257476
519 3347 660272
519 4252 309269
519 4303 394374
519 4725 63427
519 5102 964512
519 5434 522101
519 5945 807069
520 1240 184778
520 1800 380258
520 2449 76173
520 2614 482265
520 3086 584111
520 3570 316371
520 4110 916351
520 4710 858367
520 5187 697871
520 5454 954745
520 5724 133992
521 565 565720
521 939 461380
521 1103 447240
521 1543 548230
521 2499 453217
521 3284 729565
521 3497 829309
521 4222 33477
521 4350 940187
521 4659 586498
521 5381 905659
521 5827 883088
522 1186 622707
522 1762 602937
522 1804 15446
522 2781 838762
522 3596 408708
522 3869 420406
522 4364 507502
522 4721 646711
522 5003 982922
522 5923 89943
523 1267 360070
523 1444 737056
523 2356 303902
523 2415 603361
523 2749 742897
523 3121 842392
523 3941 593661
523 4370 813265
523 5003 470542
523 5430 949692
524 1353 143186
524 1661 976541
524 1901 681594
524 2707 20515
524 3587 814804
524 4194 647949
524 5170 21662
525 1398 697072
525 1962 617562
525 2275 704940
525 3220 754136
525 3812 91730
525 4205 839580
525 4468 870175
525 5083 992077
526 1322 929385
526 1858 755039
526 2180 45697
526 3078 415205
526 3570 576508
526 3715 954471
526 4228 690357
526 4920 811585
526 5188 486253
526 5433 142207
526 5979 38380
527 798 122124
527 871 116537
527 1162 618691
527 2120 69293
527 2602 554342
527 2778 338873
527 2789 684873
527 2907 613215
527 3619 723625
527 4326 16183
527 4459 399415
527 4681 166069
527 5360 403826
528 761 866371
528 798 968735
528 1787 127160
528 2590 53526
528 3388 900494
528 3867 705091
528 4190 749172
528 4804 339547
528 5334 61838
528 5994 593096
529 1161 302154
529 1237 81121
529 1798 57301
529 1979 54595
529 2097 730198
529 2920 327489
529 3150 518557
529 3623 378741
529 3979 834350
529 4514 217201
529 4690 235977
529 5561 294699
530 944 758228
530 1716 560429
530 2031 798321
530 2088 653469
530 2832 884529
530 2857 28044
530 2914 925971
530 3071 378254
530 3860 332997
530 4339 994346
530 5157 492220
530 5206 464519
530 5308 44601
530 5999 259078
531 1268 872015
531 1500 62965
531 2282 896661
531 2557 861454
531 2622 584095
531 2815 584593
531 3282 376588
531 3927 381437
531 4668 610899
531 4890 715089
531 5615 367919
531 5869 249296
532 1301 272397
532 2212 819815
532 3030 502381
532 3577 919833
532 4186 187511
532 5148 251621
532 5282 360768
532 5963 218580
533 1154 674047
533 2046 801621
533 2873 467988
533 3384 429052
533 3452 169592
533 3766 528326
533 4645 508632
533 5087 691276
533 5977 674256
534 801 798802
534 1070 122231
534 1727 674587
534 1922 620794
534 2620 358231
534 3337 261009
534 4184 29763
534 5080 212467
534 5666 814883
534 5992 546989
535 1448 376655
535 2420 246147
535 3050 413417
535 3816 666524
535 4480 709211
535 4618 402817
535 5445 588720
535 5914 75413
536 1146 627110
536 1282 398331
536 1393 764338
536 1830 751362
536 2626 62378
536 3215 634477
536 3926 113243
536 4663 502365
536 4873 707884
536 5863 601978
537 1398 205993
537 2249 37002
537 2402 271682
537 3115 30626
537 3553 620978
537 4136 490548
537 4245 987913
537 4251 222446
537 4949 162719
537 5539 511075
537 5842 866418
538 1431 328155
538 1572 547106
538 1954 559487
538 2381 230382
538 2724 387771
538 2953 199697
538 3873 889262
538 4630 543545
538 5325 962735
538 5448 759594
539 923 170951
539 1556 602437
539 1570 391578
539 2073 95320
539 3060 266640
539 3269 102493
539 3397 33666
539 4267 481614
539 4708 885252
539 5013 603211
539 5841 360353
540 977 702109
540 995 177487
540 1830 825497
540 2255 602030
540 2483 140727
540 2493 581664
540 3229 669587
540 3743 86056
540 4312 478153
540 4924 546414
540 5201 122629
540 5480 398242
540 5897 602882
541 1517 622061
541 1759 606457
541 2252 621351
541 3075 707980
541 3608 124319
541 4360 920914
541 5254 818478
542 1447 809214
542 1948 929422
542 2561 312426
542 3480 500580
542 4311 840551
542 4511 576465
542 4647 993973
542 5338 314034
543 1290 233275
543 1686 848244
543 2655 873222
543 3222 689858
543 4106 750322
543 4869 650133
543 5660 809686
543 5693 894356
544 1347 305968
544 1654 737725
544 2193 398493
544 2812 946095
544 3762 849758
544 3821 670644
544 4604 424358
544 5342 913410
545 874 800730
545 1193 941899
545 1772 418558
545 2336 617698
545 3019 293711
545 3746 953071
545 3804 138264
545 4673 10378
545 5592 20945
546 953 115563
546 1307 567712
546 1620 219416
546 2319 645451
546 3084 259441
546 3936 158870
546 4701 359582
546 5237 587016
546 5745 482093
547 748 67127
547 1381 927931
547 1571 310047
547 2110 787062
547 2878 776813
547 3877 653683
547 4092 439913
547 4125 420927
547 4346 668800
547 5319 50672
548 957 125875
548 1087 80178
548 1887 567669
548 2424 368312
548 2529 495467
548 3389 633232
548 3837 796791
548 4254 443846
548 4931 956830
548 5540 672489
548 5716 934291
548 5767 721089
549 1522 642661
549 2341 671302
549 3017 397735
549 3723 335551
549 3935 219235
549 4633 502232
549 5400 222009
549 5732 414586
550 1461 32033
550 1464 871331
550 2334 816035
550 2839 756482
550 3354 625684
550 3470 530569
550 4234 107143
550 5124 505777
551 738 715452
551 777 320248
551 1123 524606
551 1598 421048
551 2427 458597
551 2827 611516
551 3001 766620
551 3424 421558
551 4042 217105
551 4465 503004
551 5070 170256
551 5584 703641
551 5952 38435
552 1410 64676
552 1934 676818
552 2144 304328
552 2348 82457
552 3017 307809
552 3296 809068
552 3929 596876
552 4393 946148
552 4790 735083
552 5708 407955
552 5757 509023
553 601 586979
553 1578 432918
553 2189 885700
553 2885 857367
553 3438 52371
553 4324 79722
553 4900 234213
553 5173 897032
553 5403 687081
553 5710 431297
553 5771 148534
554 1110 134930
554 1945 292478
554 2173 73239
554 3017 880957
554 3651 904822
554 4580 947551
554 5361 274980
554 5603 569147
555 1163 15384
555 2112 318539
555 2701 653225
555 3264 388174
555 3913 767225
555 4375 911065
555 5125 219222
555 5741 567031
556 997 142611
556 1987 554640
556 2546 974627
556 3352 412843
556 3522 687590
556 4336 373767
556 5064 882049
556 5787 272111
557 814 38051
557 1379 411823
557 1947 182217
557 2338 762034
557 2611 127496
557 3210 521244
557 4081 368006
557 4762 353481
557 5105 796320
557 5140 318969
557 5613 306229
558 616 994042
558 865 749141
558 1299 8975
558 1895 548430
558 2122 575646
558 3112 133402
558 3322 572558
558 4110 796595
558 4936 472636
558 5125 187069
558 5627 178546
558 5724 36982
559 1324 930368
559 1524 546241
559 2112 115690
559 2759 746981
559 3693 787787
559 4103 772260
559 4481 204191
559 4963 901024
559 5491 627235
560 641 456023
560 1164 349262
560 1166 542715
560 1840 128507
560 2092 514127
560 2924 760491
560 3811 612199
560 4497 834479
560 5279 234375
560 5400 595762
561 1465 251523
561 2376 986285
561 3081 263749
561 3733 566588
561 4708 855588
561 4724 863349
561 4830 599277
561 5176 163172
561 5474 436852
562 982 118683
562 1591 970662
562 1816 796299
562 2301 96010
562 2318 194609
562 2433 61029
562 3293 975989
562 4228 874497
562 4269 611035
562 4765 514628
562 4771 166436
562 5410 365354
563 826 673700
563 883 48565
563 1778 350831
563 2110 261930
563 2546 734346
563 2696 341086
563 3522 121512
563 3972 766786
563 4946 465478
563 5588 821963
564 1050 770003
564 1841 323985
564 2816 925800
564 3228 565617
564 3726 277305
564 3954 997549
564 4663 527144
564 5102 610891
564 5573 402720
565 1377 428222
565 2132 80993
565 2209 417561
565 2980 912054
565 3010 986416
565 3370 695794
565 3619 20363
565 4200 356233
565 4533 561732
565 5526 903301
565 5751 156649
566 1335 900357
566 1998 507564
566 2237 683490
566 2512 666917
566 3161 854848
566 3180 789642
566 4100 97579
566 4508 832974
566 5465 140175
566 5794 192750
567 606 828682
567 1253 957727
567 2011 407995
567 2031 275986
567 2666 242899
567 2769 981343
567 3327 666666
567 3905 835399
567 4193 675846
567 4236 948136
567 4448 333684
567 4499 969791
567 4586 218376
567 5329 111261
567 5382 175844
568 659 520874
568 1333 395818
568 1960 253020
568 2145 219964
568 2796 16083
568 2858 798993
568 3846 562079
568 4764 3386
568 5127 483763
568 5904 119850
569 1025 988900
569 1134 884899
569 1754 825207
569 1905 541676
569 2299 796182
569 2413 554619
569 2616 408283
569 3209 894222
569 3672 718557
569 3892 713898
569 4858 543565
569 5091 692397
569 5921 401619
570 1159 981747
570 2111 223915
570 2309 489203
570 2680 780448
570 3498 407577
570 4445 270845
570 4763 89128
570 5718 995937
571 804 494529
571 1051 873052
571 1480 401823
571 1773 343399
571 2152 501529
571 2291 813212
571 2782 416249
571 2930 401237
571 3126 421414
571 3557 405750
